gene,prior_acrophase_loc,prior_acrophase_95_interval
202708_s_at,1.382300767579509,0.39269908169872414
220644_at,5.654866776461628,0.39269908169872414
221690_s_at,5.15221195188726,0.39269908169872414
254622,5.340707511102648,0.39269908169872414
254647,4.71238898038469,0.39269908169872414
254941,4.586725274241098,0.39269908169872414
2948588,4.71238898038469,0.39269908169872414
326858,4.523893421169302,0.39269908169872414
Abcc5,3.518583772020568,0.39269908169872414
Actr2,3.581415625092364,0.39269908169872414
Adh4,5.654866776461628,0.39269908169872414
Afap1,0.0,0.39269908169872414
Ahi1,5.717698629533424,0.39269908169872414
Akirin2,5.592034923389832,0.39269908169872414
Alkbh7,2.764601535159018,0.39269908169872414
Ankrd10,3.141592653589793,0.39269908169872414
Ankrd36c,4.084070449666731,0.39269908169872414
Anln,5.592034923389832,0.39269908169872414
Anp32e,6.031857894892402,0.39269908169872414
Antxr1,0.18849555921538758,0.39269908169872414
Aoc2,0.4398229715025711,0.39269908169872414
Arglu1,3.141592653589793,0.39269908169872414
Arhgap11a,4.900884539600077,0.39269908169872414
Arhgap11b,4.900884539600077,0.39269908169872414
Arhgef39,5.277875658030852,0.39269908169872414
Arl4a,5.089380098815465,0.39269908169872414
Arl6ip1,5.717698629533424,0.39269908169872414
Asf1b,3.707079331235956,0.39269908169872414
Asip,3.958406743523139,0.39269908169872414
Asxl1,5.529203070318036,0.39269908169872414
Atad2,3.455751918948772,0.39269908169872414
Atl2,5.403539364174444,0.39269908169872414
Atrip,2.9530970943744053,0.39269908169872414
Aurka,5.654866776461628,0.39269908169872414
Aurkb,5.02654824574367,0.39269908169872414
Birc2,5.717698629533424,0.39269908169872414
Birc3,5.215043804959057,0.39269908169872414
Birc5,5.9061941887488105,0.39269908169872414
Bmp2,5.529203070318036,0.39269908169872414
Bora,5.403539364174444,0.39269908169872414
Brca1,3.8327430373795477,0.39269908169872414
Brd8,5.215043804959057,0.39269908169872414
Btbd3,6.094689747964199,0.39269908169872414
Btnl9,5.340707511102648,0.39269908169872414
Bub1,5.780530482605219,0.39269908169872414
Bub1b,5.46637121724624,0.39269908169872414
Bub3,5.340707511102648,0.39269908169872414
C11orf82,4.71238898038469,0.39269908169872414
C15orf23,6.031857894892402,0.39269908169872414
C1orf2,0.6911503837897545,0.39269908169872414
C1orf63,1.8849555921538759,0.39269908169872414
C5orf42,3.8327430373795477,0.39269908169872414
Casp3,5.089380098815465,0.39269908169872414
Ccdc107,5.277875658030852,0.39269908169872414
Ccna2,5.277875658030852,0.39269908169872414
Ccnb1,5.843362335677016,0.39269908169872414
