gene_symbol,phase_adrg,phase_aort,phase_bfat,phase_bstm,phase_cere,phase_hart,phase_hypo,phase_kdny,phase_livr,phase_lung,phase_musc,phase_wfat
Elf1,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL
Errfi1,NULL,NULL,NULL,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Fads2,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,NULL,NULL,NULL
Fbxo32,NULL,NULL,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Fpgs,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL
Clcn7,NULL,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,NULL,NULL
Clic1,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyb5,NULL,17,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL
Ddah1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,19,NULL,NULL
Dgcr8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22
Ccl24,NULL,17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Gnl3,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Hapln1,18,16,NULL,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL
Hax1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL
Eif4ebp2,NULL,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Arhgdib,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
Arhgef6,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL,NULL,NULL,NULL
Atrn,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL,NULL,NULL
Magi1,2,NULL,NULL,23,23,NULL,NULL,6,2,NULL,NULL,2
Map1lc3a,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,10,NULL,NULL
Mlh3,19,NULL,NULL,NULL,21,NULL,21,NULL,21,NULL,NULL,NULL
Slc16a2,2,NULL,NULL,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Slc20a1,NULL,NULL,NULL,22,NULL,NULL,NULL,17,NULL,NULL,NULL,NULL
Slc2a9,6,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,7,NULL,6
Rgs9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16,NULL,NULL
Scap,NULL,NULL,11,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL
Scn1b,13,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Syvn1,NULL,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Timp4,NULL,NULL,13,NULL,NULL,NULL,NULL,NULL,NULL,13,NULL,NULL
Nfib,NULL,NULL,19,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL
Prep,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL,22
Tsc22d3,14,15,16,15,14,14,14,15,15,13,16,16
Ttpa,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,NULL,NULL,NULL,NULL
Wars,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,21,16,NULL,NULL
Tcap,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,10,12,NULL
Slc22a8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,NULL,NULL,NULL,NULL
Slc26a6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL
Pbx3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16,NULL,NULL,NULL
Mcoln3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL,NULL,20,NULL
