gene_symbol,phase_adrg,phase_aort,phase_bfat,phase_bstm,phase_cere,phase_hart,phase_hypo,phase_kdny,phase_livr,phase_lung,phase_musc,phase_wfat
Trp53,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
Vegfa,NULL,8,9,NULL,NULL,21,NULL,NULL,14,NULL,2,NULL
Egfr,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL
Mthfr,NULL,22,22,NULL,NULL,22,NULL,22,22,NULL,NULL,22
Esr1,NULL,13,14,NULL,NULL,NULL,NULL,13,18,NULL,NULL,13
Tlr4,NULL,NULL,NULL,NULL,NULL,4,NULL,22,NULL,NULL,NULL,NULL
Nfkb1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL
H2-Eb1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL
Ctnnb1,15,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0,NULL,NULL
Akt1,NULL,10,11,NULL,NULL,NULL,NULL,NULL,13,9,NULL,NULL
Ace,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,NULL,NULL
Ptgs2,NULL,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Fas,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,21,NULL,NULL,NULL
Lep,NULL,16,18,NULL,NULL,NULL,NULL,16,NULL,NULL,NULL,NULL
Pparg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16,NULL,NULL,0,NULL
H2-Ab1,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL
Mmp9,4,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,3
Cd4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL
Ar,NULL,18,21,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Gstm2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL
Tlr2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,NULL
Hif1a,NULL,NULL,NULL,NULL,NULL,4,NULL,18,NULL,NULL,NULL,18
Igf1,NULL,NULL,20,NULL,NULL,NULL,NULL,NULL,15,0,NULL,NULL
Slc6a4,18,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL,NULL
Cdh1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Bcl2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL
Stat3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
Cdkn1a,0,22,22,19,NULL,22,NULL,23,22,22,0,23
H2-Q6,8,6,NULL,NULL,NULL,NULL,NULL,7,21,NULL,NULL,NULL
Nos2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL
Kit,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL
Myc,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL,NULL
Mapk14,NULL,NULL,19,NULL,NULL,NULL,NULL,15,17,NULL,NULL,18
Erbb2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL
Abcb1a,11,NULL,NULL,NULL,NULL,18,NULL,NULL,13,NULL,NULL,NULL
Gstt1,NULL,NULL,NULL,NULL,NULL,16,NULL,NULL,22,16,NULL,NULL
Pten,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL,NULL,NULL,NULL
Ccnd1,NULL,NULL,NULL,NULL,23,NULL,NULL,12,12,8,NULL,NULL
Bdnf,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,NULL,NULL,NULL
Adipoq,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL,NULL
Vdr,NULL,3,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rb1,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Pecam1,NULL,NULL,NULL,23,1,21,1,2,NULL,5,23,NULL
Ldlr,NULL,18,NULL,NULL,NULL,0,NULL,20,16,NULL,1,NULL
Itgb1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
Serpine1,9,NULL,NULL,NULL,NULL,9,NULL,10,9,10,9,10
Tnfrsf1a,NULL,NULL,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ccr5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL
Myd88,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL
Mmp2,NULL,NULL,NULL,6,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Notch1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7
Lepr,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,NULL,NULL
Bmp4,13,NULL,NULL,NULL,NULL,14,NULL,NULL,NULL,NULL,NULL,NULL
Dmd,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Kras,NULL,NULL,NULL,NULL,NULL,NULL,19,19,22,NULL,NULL,NULL
Prnp,18,NULL,21,NULL,NULL,NULL,NULL,15,19,NULL,NULL,NULL
Brca2,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,13,NULL
Sod1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL
Jun,10,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Mdm2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL
Cxcr4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,20
Comt,3,NULL,NULL,NULL,NULL,NULL,NULL,0,1,NULL,NULL,22
Rela,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL
Itgb3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL
Esr2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL
Mapt,20,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL
H2-K1,7,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL
Crp,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
H2-D1,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Agtr1a,20,NULL,NULL,NULL,NULL,8,NULL,3,2,NULL,4,NULL
Kdr,NULL,NULL,NULL,23,NULL,1,0,21,NULL,NULL,2,NULL
Psen1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,NULL,NULL,NULL,NULL
Ret,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL
Cyp1a1,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL,18,NULL,NULL
Adrb2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,12,11,NULL
Spp1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,NULL,NULL
Hfe,2,NULL,20,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,22
Ppara,8,NULL,8,NULL,NULL,16,NULL,9,12,18,NULL,10
Gsk3b,NULL,NULL,20,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL
Snca,8,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Prkca,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16,2,22
Bmp2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,16,NULL,NULL
Fgf2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10
Col1a1,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,4,NULL,NULL
Ptch1,NULL,NULL,NULL,17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cd44,17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,0
Sp1,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,0,NULL,NULL,NULL
Cav1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,0,NULL
Hmox1,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Mtor,NULL,NULL,10,NULL,NULL,NULL,NULL,10,7,NULL,NULL,NULL
Pcna,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL,NULL
Fyn,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL
Cd40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL
Sod2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,16,NULL,19
Gja1,NULL,1,0,NULL,NULL,2,NULL,16,NULL,NULL,NULL,NULL
Nod2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL
Tnfrsf1b,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL,NULL
Fgfr2,NULL,NULL,3,3,3,NULL,NULL,NULL,5,6,NULL,NULL
Ptk2,15,NULL,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL,NULL
Xrcc1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL
Hras1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,11,NULL,NULL
Mlh1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL
Igf1r,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL
Braf,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,NULL
Lpl,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL
Pon1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL
Smad3,NULL,NULL,NULL,NULL,4,22,NULL,NULL,NULL,NULL,23,NULL
Rhoa,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
Pik3r1,NULL,17,NULL,NULL,NULL,15,NULL,21,14,17,19,NULL
Prkcd,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL
Fn1,NULL,NULL,NULL,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Abl1,NULL,NULL,NULL,NULL,NULL,16,NULL,NULL,NULL,11,NULL,NULL
Hbb-b1,NULL,NULL,9,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL
Bcl2l1,NULL,NULL,NULL,NULL,NULL,13,13,NULL,NULL,NULL,NULL,NULL
Sox9,NULL,NULL,22,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Crebbp,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL
Cd14,NULL,17,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18
C3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL
Abca1,NULL,10,11,NULL,NULL,14,NULL,NULL,NULL,14,NULL,10
Ahr,NULL,NULL,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Edn1,NULL,18,20,20,20,20,22,19,NULL,18,NULL,NULL
Ep300,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,NULL,NULL
Casp8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1
Hgf,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,2
Cd28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL,NULL
Plau,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,2,NULL,NULL
Ptpn11,NULL,NULL,NULL,16,NULL,19,NULL,NULL,NULL,NULL,NULL,NULL
Creb1,19,NULL,NULL,NULL,NULL,19,19,NULL,NULL,NULL,NULL,NULL
Acta2,23,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,3,NULL,NULL
Irs1,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL,7,22,NULL
Lck,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL
Met,NULL,NULL,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Fgfr1,10,NULL,0,9,NULL,NULL,NULL,NULL,10,9,9,NULL
Runx1,NULL,NULL,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Htr2a,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,14,NULL,NULL
Cyp2e1,NULL,13,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL,NULL,NULL
Prkaca,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Nefm,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Gjb2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL
Myod1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,NULL
Ncam1,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL
Calb1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL,NULL,NULL,NULL
Pgr,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Il4ra,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,23,NULL
Foxa2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,NULL,NULL
Pdgfra,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,21,NULL,NULL
Kitl,NULL,NULL,12,NULL,NULL,16,NULL,18,16,NULL,NULL,NULL
Flt1,17,NULL,12,NULL,0,16,NULL,19,22,NULL,NULL,NULL
Ptprc,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL
Hdac1,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL
Mmp3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL
Cdc42,NULL,NULL,3,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cdk2,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Tnfsf10,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,NULL,NULL,19
Vcam1,12,NULL,NULL,NULL,NULL,15,NULL,20,13,0,NULL,NULL
Nfe2l2,NULL,15,15,16,NULL,NULL,NULL,19,NULL,16,11,NULL
Raf1,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Mecp2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL
Rara,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
Igfbp3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL
Fgfr3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9
Cebpb,NULL,NULL,NULL,NULL,NULL,13,NULL,NULL,12,NULL,15,NULL
Plat,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL
Drd4,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Trp63,NULL,NULL,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Il1r1,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL
Cnr1,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cd8a,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL
Tgfbr2,NULL,NULL,NULL,NULL,NULL,17,NULL,6,11,NULL,NULL,NULL
Fmr1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4
Ppargc1a,7,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL
Nf1,NULL,NULL,6,22,NULL,0,NULL,NULL,NULL,NULL,4,NULL
Il2ra,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL
Stat5a,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,4,NULL
Sele,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL
Cebpa,8,6,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL
Fcgr3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL
Rxra,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL
Cyp17a1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL
Pik3ca,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,3,NULL
Tcf7l2,6,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Hba-a1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL
Maoa,11,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL,NULL
Mitf,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,20,NULL,NULL,NULL
Ptpn6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,2,NULL,NULL
Thbs1,3,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,5
Nfkbia,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,11,NULL,NULL
Ntrk2,NULL,3,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F3,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL
Tlr3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
Hsp90aa1,19,21,22,NULL,NULL,NULL,22,21,18,18,23,22
Ubc,NULL,NULL,23,NULL,NULL,21,NULL,NULL,NULL,NULL,0,NULL
Pdgfrb,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL
Gata4,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,22,NULL,NULL,NULL
Fgf10,NULL,NULL,22,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Vim,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Nqo1,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL
Hnf1a,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL,NULL,NULL
Smad1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL
Nkx2-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL
Ogg1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL
Bmp7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL,NULL
Cdk4,NULL,7,8,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL
Cbl,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL
Sirt1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,NULL,NULL
Cyp1b1,NULL,NULL,22,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL
Fcgr2b,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL
Cd36,NULL,NULL,23,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL
Cdh2,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL
Plaur,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL
Ptgs1,NULL,NULL,NULL,NULL,NULL,14,NULL,16,NULL,13,NULL,NULL
Prkcb,NULL,NULL,22,NULL,NULL,NULL,NULL,NULL,NULL,4,22,NULL
Actb,NULL,NULL,NULL,NULL,NULL,4,8,NULL,22,0,0,NULL
Tgfbr1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL
Slc2a1,NULL,NULL,NULL,14,15,11,NULL,20,19,19,NULL,NULL
Chek2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
Kcnj11,NULL,NULL,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Prkce,NULL,11,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13
Hmgb1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL,NULL
Abcg2,NULL,NULL,15,14,NULL,13,NULL,2,NULL,NULL,NULL,16
Tyms,NULL,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Wnt5a,NULL,NULL,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Foxo1,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL,18,NULL
Lrp1,8,NULL,12,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL
Scarb1,17,7,NULL,NULL,6,NULL,NULL,NULL,NULL,11,NULL,NULL
Calb2,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ghr,NULL,NULL,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Pdgfb,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL
Tap1,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL
Ctgf,NULL,NULL,NULL,14,14,NULL,NULL,NULL,NULL,13,11,NULL
Plcg1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL
Prkcz,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,11,NULL,NULL
Lrrk2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,23
Mmp14,NULL,2,23,1,2,1,2,4,NULL,2,2,4
Dnmt1,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ppard,21,NULL,NULL,NULL,NULL,NULL,NULL,23,22,NULL,NULL,NULL
Sell,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,4,NULL,NULL
Rarb,NULL,20,21,20,19,18,NULL,20,18,NULL,NULL,NULL
Kcnq1,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apex1,NULL,9,NULL,NULL,9,NULL,NULL,NULL,22,7,NULL,NULL
Hspa5,NULL,NULL,NULL,21,NULL,1,21,18,NULL,20,NULL,NULL
Tgfb2,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL
Thrb,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL
Fbn1,3,NULL,1,NULL,5,3,NULL,3,NULL,2,3,3
F7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Mgmt,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL
Dll1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL
Stat5b,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
Adrb3,NULL,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL
Trf,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL
Cxcl10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL
Adora2a,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL,NULL,2
Adrb1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL
Nbn,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23
Tgfa,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,12,NULL,NULL
Hc,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL
Srebf1,NULL,16,NULL,NULL,NULL,NULL,NULL,19,14,NULL,NULL,NULL
Pml,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,23,NULL,NULL,NULL
Col10a1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL,NULL
Kcnh2,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL,NULL,NULL
Gnrh1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16,NULL,17,NULL,NULL
Il2rg,7,NULL,NULL,NULL,NULL,2,NULL,NULL,0,4,23,NULL
Tek,19,2,NULL,22,0,NULL,NULL,19,22,NULL,1,NULL
F2r,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,14,NULL,NULL
Thra,2,3,4,NULL,NULL,2,NULL,3,0,4,4,5
Sumo1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18
Ercc1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
Myb,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL
Lgals3,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Tnc,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL
Apoc3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Il7r,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL
Bcr,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL
Cat,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,7,NULL,NULL
Cbs,NULL,NULL,NULL,NULL,NULL,NULL,23,4,2,20,NULL,NULL
Gpx1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL
Itga5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL
Il6st,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL,NULL,NULL
Sparc,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
Fgb,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL
Ache,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL
Cd19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,4,NULL,NULL
