gene_symbol,acrophase
Cdk1,16.0
Cdk10,16.0
Cdk2,0.0
Cdk2ap1,8.0
Cdk2ap2,8.0
Cdk4,8.0
Cdk5rap3,8.0
Cdk6,8.0
Cdkn1a,0.0
Cdkn2aipnl,8.0
Cdkn2d,16.0
Cdkn3,16.0
Cdpf1,8.0
Cdt1,8.0
Cdv3,8.0
Cenpa,16.0
Cenpc1,16.0
Cenpe,16.0
Cenpf,16.0
Cenph,8.0
Cenpi,16.0
Cenpj,16.0
Cenpk,8.0
Cenpl,16.0
Cenpm,8.0
Cenpn,16.0
Cenpo,8.0
Cenpp,16.0
Cenpq,16.0
Cenpt,16.0
Cenpw,16.0
Cep128,16.0
Cep152,8.0
Cep192,16.0
Cep250,16.0
Cep55,16.0
Cep57,16.0
Cep57l1,16.0
Cep72,16.0
Cetn2,8.0
Cetn3,8.0
Cfdp1,8.0
Cfp,8.0
Chaf1b,8.0
Chchd1,8.0
Chchd2,8.0
Chchd3,8.0
Chchd4,8.0
Chchd6,8.0
Chd1l,8.0
Chek1,8.0
Chek2,16.0
Cherp,0.0
Chmp6,8.0
Chrac1,8.0
Chtf18,8.0
Chtop,8.0
Ciapin1,0.0
Cib1,0.0
Cinp,8.0
Cirh1a,8.0
Cisd1,8.0
Cisd2,8.0
Cit,16.0
Ciz1,0.0
Ckap2,16.0
Ckap2l,16.0
Ckap5,16.0
Cklf,8.0
Cks1b,16.0
Cks2,16.0
Clcc1,0.0
Cldn25,8.0
Cln6,8.0
Clns1a,0.0
Clp1,16.0
Clpp,8.0
Clspn,8.0
Cmah,8.0
Cmc1,8.0
Cmpk1,8.0
Cmss1,16.0
Cnih,16.0
Cnih4,8.0
Cnn3,8.0
Cnot10,8.0
Cnot2,0.0
Cnot6,16.0
Cnp,8.0
Cnpy2,16.0
Cnpy3,8.0
Cnpy4,8.0
Coa3,16.0
Coa5,16.0
Cog2,8.0
Commd1,16.0
Commd10,0.0
Commd2,8.0
Commd4,8.0
Copb1,8.0
Copg,8.0
Cops2,16.0
Cops3,8.0
Cops5,16.0
Cops6,16.0
Cops7a,0.0
Coq5,8.0
Coq6,0.0
Coq7,8.0
Coro1c,8.0
Cox10,16.0
Cox17,8.0
Cox5a,8.0
Cox5b,8.0
Cox6a1,8.0
Cox6b1,8.0
Cox6b2,16.0
Cox6c,8.0
Cox7a2,8.0
Cox7b,8.0
Cox7c,8.0
Cox8a,8.0
Cpsf1,8.0
Cpsf2,8.0
