gene,prior_acrophase_loc,prior_acrophase_95_interval
202708_s_at,0.0,2.356194490192345
220644_at,4.71238898038469,2.356194490192345
221690_s_at,3.141592653589793,2.356194490192345
254622,3.926990816987241,2.356194490192345
254647,3.141592653589793,2.356194490192345
254941,3.141592653589793,2.356194490192345
2948588,3.141592653589793,2.356194490192345
326858,3.141592653589793,2.356194490192345
Abcc5,1.5707963267948966,2.356194490192345
Actr2,1.5707963267948966,2.356194490192345
Adh4,4.71238898038469,2.356194490192345
Afap1,0.0,2.356194490192345
Ahi1,4.71238898038469,2.356194490192345
Akirin2,4.71238898038469,2.356194490192345
Alkbh7,0.0,2.356194490192345
Ankrd10,0.7853981633974483,2.356194490192345
Ankrd36c,3.141592653589793,2.356194490192345
Anln,4.71238898038469,2.356194490192345
Anp32e,4.71238898038469,2.356194490192345
Antxr1,0.0,2.356194490192345
Aoc2,0.0,2.356194490192345
Arglu1,0.7853981633974483,2.356194490192345
Arhgap11a,3.141592653589793,2.356194490192345
Arhgap11b,3.141592653589793,2.356194490192345
Arhgef39,3.141592653589793,2.356194490192345
Arl4a,3.141592653589793,2.356194490192345
Arl6ip1,4.71238898038469,2.356194490192345
Asf1b,1.5707963267948966,2.356194490192345
Asip,1.5707963267948966,2.356194490192345
Asxl1,3.926990816987241,2.356194490192345
Atad2,1.5707963267948966,2.356194490192345
Atl2,3.926990816987241,2.356194490192345
Atrip,0.7853981633974483,2.356194490192345
Aurka,4.71238898038469,2.356194490192345
Aurkb,3.141592653589793,2.356194490192345
Birc2,4.71238898038469,2.356194490192345
Birc3,3.141592653589793,2.356194490192345
Birc5,4.71238898038469,2.356194490192345
Bmp2,3.926990816987241,2.356194490192345
Bora,3.926990816987241,2.356194490192345
Brca1,1.5707963267948966,2.356194490192345
Brd8,3.141592653589793,2.356194490192345
Btbd3,4.71238898038469,2.356194490192345
Btnl9,3.926990816987241,2.356194490192345
Bub1,4.71238898038469,2.356194490192345
Bub1b,3.926990816987241,2.356194490192345
Bub3,3.926990816987241,2.356194490192345
C11orf82,3.141592653589793,2.356194490192345
C15orf23,4.71238898038469,2.356194490192345
C1orf2,0.0,2.356194490192345
C1orf63,0.0,2.356194490192345
C5orf42,1.5707963267948966,2.356194490192345
Casp3,3.141592653589793,2.356194490192345
Ccdc107,3.141592653589793,2.356194490192345
Ccna2,3.141592653589793,2.356194490192345
Ccnb1,4.71238898038469,2.356194490192345
Ccnb2,4.71238898038469,2.356194490192345
Ccne1,0.0,2.356194490192345
Ccne2,0.0,2.356194490192345
Ccnf,3.141592653589793,2.356194490192345
Cd97,4.71238898038469,2.356194490192345
Cdc20,4.71238898038469,2.356194490192345
Cdc25a,0.0,2.356194490192345
Cdc25b,4.71238898038469,2.356194490192345
Cdc25c,3.141592653589793,2.356194490192345
Cdc27,4.71238898038469,2.356194490192345
Cdc6,0.7853981633974483,2.356194490192345
Cdca2,3.141592653589793,2.356194490192345
Cdca3,3.926990816987241,2.356194490192345
Cdca5,3.141592653589793,2.356194490192345
Cdca7,0.0,2.356194490192345
Cdca7l,0.7853981633974483,2.356194490192345
Cdca8,3.141592653589793,2.356194490192345
Cdh24,1.5707963267948966,2.356194490192345
Cdk1,3.141592653589793,2.356194490192345
Cdkl5,3.141592653589793,2.356194490192345
Cdkn1b,3.141592653589793,2.356194490192345
Cdkn2aip,1.5707963267948966,2.356194490192345
Cdkn2c,3.141592653589793,2.356194490192345
Cdkn3,0.0,2.356194490192345
Cenpa,3.926990816987241,2.356194490192345
Cenpe,4.71238898038469,2.356194490192345
Cenpf,4.71238898038469,2.356194490192345
Cenpl,3.141592653589793,2.356194490192345
Cenpq,1.5707963267948966,2.356194490192345
Cep55,4.71238898038469,2.356194490192345
Cep70,4.71238898038469,2.356194490192345
Chaf1b,0.7853981633974483,2.356194490192345
Cit,3.926990816987241,2.356194490192345
Ckap2,3.926990816987241,2.356194490192345
Ckap2l,3.141592653589793,2.356194490192345
