gene,prior_acrophase_loc,prior_acrophase_95_interval
Arntl,0.0,0.2617993877991494
Bhlhe41,2.356194490192345,0.2617993877991494
Clock,0.0,0.2617993877991494
Cry1,4.71238898038469,0.2617993877991494
Cry2,3.141592653589793,0.2617993877991494
Dbp,2.6179938779914944,0.2617993877991494
Fbxo21,1.8325957145940461,0.2617993877991494
Gm129,2.8797932657906435,0.2617993877991494
Hlf,3.141592653589793,0.2617993877991494
Nfil3,5.497787143782138,0.2617993877991494
Npas2,0.0,0.2617993877991494
Nr1d1,2.0943951023931953,0.2617993877991494
Nr1d2,2.6179938779914944,0.2617993877991494
Per1,2.8797932657906435,0.2617993877991494
Per2,3.6651914291880923,0.2617993877991494
Per3,3.141592653589793,0.2617993877991494
Rorc,4.974188368183839,0.2617993877991494
Tef,3.141592653589793,0.2617993877991494
